Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 localhost:ipp           0.0.0.0:*               LISTEN     
tcp        0      0 0.0.0.0:ssh             0.0.0.0:*               LISTEN     
tcp        0      0 0.0.0.0:5900            0.0.0.0:*               LISTEN     
tcp        0      0 localhost:46024         localhost:41049         ESTABLISHED
tcp        0      0 localhost:41049         localhost:46024         ESTABLISHED
tcp6       0      0 localhost:ipp           [::]:*                  LISTEN     
tcp6       0      0 [::]:ssh                [::]:*                  LISTEN     
tcp6       0      0 [::]:5900               [::]:*                  LISTEN     
tcp6       0      0 2607:9880:4317:ffb:5900 2607:9880:4317:ff:64772 ESTABLISHED
tcp6       0      0 2607:9880:4317:ffb4:ssh 2607:9880:4317:ff:64933 ESTABLISHED
